# x   erf(x) (Computed)   erf(x) (Tabulated)
0   9.99999971718069E-10   0
0.02   0.112462965622195   0.022564575
0.04   0.222702457858316   0.045111106
0.06   0.328626682729012   0.067621594
0.08   0.428392423467284   0.090078126
0.1   0.520500016304747   0.112462916
0.2   0.603856184849437   0.222702589
0.3   0.677801181856103   0.328626759
0.4   0.742100859742192   0.428392355
0.5   0.796908074913668   0.520499878
0.6   0.84270068974759   0.603856091
0.7   0.880205043203596   0.677801194
0.8   0.910314035506213   0.742100965
0.9   0.934008062438552   0.796908212
1   0.952285258268515   0.842700793
1.1   0.966105266402972   0.88020507
1.2   0.97634845580629   0.910313978
1.3   0.983790470207606   0.934007945
1.4   0.989090453811526   0.95228512
1.5   0.992790333976641   0.966105146
1.6   0.995322139581219   0.976348383
1.7   0.997020395440758   0.983790459
1.8   0.998137018211188   0.989090502
1.9   0.998856700762316   0.992790429
2   0.999311382118005   0.995322265
2.1   0.999592964536606   0.997020533
2.2   0.99976390176522   0.998137154
2.3   0.999865620514704   0.998856823
2.4   0.999924953891055   0.999311486
2.5   0.999958879780397   0.999593048
3   0.999977894851102   0.99997791
3.5   0.999988342042002   0.999999257
