# r     ψ1     ψ2     ψ3
0.300 0.436908 -0.186590 0.226738 
0.600 0.650146 -0.264957 0.313504 
0.900 0.725593 -0.269138 0.300785 
1.200 0.719818 -0.224874 0.222696 
1.500 0.669458 -0.151376 0.107343 
1.800 0.597716 -0.062742 -0.022751 
2.100 0.518838 0.030912 -0.150176 
2.400 0.441178 0.122535 -0.262126 
2.700 0.369279 0.207418 -0.349874 
3.000 0.305282 0.282622 -0.408233 
3.300 0.249851 0.346522 -0.435023 
3.600 0.202794 0.398452 -0.430545 
3.900 0.163455 0.438428 -0.397078 
4.200 0.130967 0.466939 -0.338402 
4.500 0.104398 0.484778 -0.259359 
4.800 0.082848 0.492922 -0.165446 
5.100 0.065486 0.492440 -0.062462 
5.400 0.051579 0.484428 0.043809 
5.700 0.040496 0.469958 0.147861 
6.000 0.031699 0.450047 0.244681 
6.300 0.024743 0.425636 0.329920 
6.600 0.019259 0.397578 0.400014 
6.900 0.014946 0.366628 0.452267 
7.200 0.011559 0.333448 0.484883 
7.500 0.008902 0.298601 0.496973 
7.800 0.006814 0.262560 0.488523 
8.100 0.005169 0.225711 0.460333 
8.400 0.003864 0.188362 0.413935 
8.700 0.002817 0.150743 0.351493 
9.000 0.001960 0.113021 0.275687 
9.300 0.001236 0.075299 0.189589 
9.600 0.000597 0.037626 0.096536 
