# z, linterp(z), linterpInteg(z)
0 1 0
0.05 0.977015115293407 0.0494253778823352
0.1 0.954030230586814 0.0977015115293407
0.15 0.931045345880221 0.144828400941017
0.2 0.908060461173628 0.190806046117363
0.25 0.885075576467035 0.235634447058379
0.3 0.862090691760442 0.279313603764066
0.35 0.839105807053849 0.321843516234424
0.4 0.816120922347256 0.363224184469451
0.45 0.793136037640663 0.403455608469149
0.5 0.77015115293407 0.442537788233517
0.55 0.747166268227477 0.480470723762556
0.6 0.724181383520884 0.517254415056265
0.65 0.701196498814291 0.552888862114645
0.7 0.678211614107698 0.587374064937694
0.75 0.655226729401105 0.620710023525414
0.8 0.632241844694512 0.652896737877805
0.85 0.609256959987919 0.683934207994866
0.9 0.586272075281326 0.713822433876597
0.95 0.563287190574733 0.742561415522998
1 0.54030230586814 0.77015115293407
1.05 0.492479848747375 0.795970706799458
1.1 0.444657391626611 0.819399137808808
1.15 0.396834934505847 0.840436445962119
1.2 0.349012477385083 0.859082631259392
1.25 0.301190020264319 0.875337693700627
1.3 0.253367563143555 0.889201633285824
1.35 0.205545106022791 0.900674450014983
1.4 0.157722648902026 0.909756143888103
1.45 0.109900191781262 0.916446714905186
1.5 0.0620777346604981 0.92074616306623
1.55 0.0142552775397339 0.922654488371235
1.6 -0.0335671795810303 0.922171690820203
1.65 -0.0813896367017943 0.919297770413132
1.7 -0.129212093822558 0.914032727150023
1.75 -0.177034550943323 0.906376561030876
1.8 -0.224857008064087 0.896329272055691
1.85 -0.272679465184851 0.883890860224468
1.9 -0.320501922305615 0.869061325537206
1.95 -0.368324379426379 0.851840667993906
2 -0.416146836547143 0.832228887594568
2.05 -0.444839119549808 0.810704238692144
2.1 -0.473531402552473 0.787744975639588
2.15 -0.502223685555138 0.763351098436897
2.2 -0.530915968557803 0.737522607084074
2.25 -0.559608251560468 0.710259501581117
2.3 -0.588300534563133 0.681561781928027
2.35 -0.616992817565798 0.651429448124804
2.4 -0.645685100568463 0.619862500171448
2.45 -0.674377383571128 0.586860938067958
2.5 -0.703069666573793 0.552424761814335
2.55 -0.731761949576458 0.516553971410579
2.6 -0.760454232579123 0.47924856685669
2.65 -0.789146515581789 0.440508548152667
2.7 -0.817838798584454 0.400333915298511
2.75 -0.846531081587119 0.358724668294222
2.8 -0.875223364589784 0.315680807139799
2.85 -0.903915647592449 0.271202331835244
2.9 -0.932607930595114 0.225289242380555
2.95 -0.961300213597779 0.177941538775733
3 -0.989992496600444 0.129159221020777
3.05 -0.973175052813605 0.0800800322854262
3.1 -0.956357609026763 0.0318417157394172
3.15 -0.939540165239921 -0.0155557286172497
3.2 -0.92272272145308 -0.0621123007845746
3.25 -0.905905277666238 -0.107828000762557
3.3 -0.889087833879397 -0.152702828551198
3.35 -0.872270390092555 -0.196736784150497
3.4 -0.855452946305713 -0.239929867560453
3.45 -0.838635502518872 -0.282282078781068
3.5 -0.82181805873203 -0.32379341781234
3.55 -0.805000614945189 -0.36446388465427
3.6 -0.788183171158347 -0.404293479306859
3.65 -0.771365727371505 -0.443282201770105
3.69999999999999 -0.754548283584664 -0.481430052044009
3.74999999999999 -0.737730839797822 -0.518737030128571
3.79999999999999 -0.72091339601098 -0.555203136023791
3.84999999999999 -0.704095952224139 -0.590828369729669
3.89999999999999 -0.687278508437297 -0.625612731246205
3.94999999999999 -0.670461064650456 -0.659556220573398
3.99999999999999 -0.653643620863614 -0.69265883771125
4.04999999999999 -0.606778330547276 -0.724169386496522
4.09999999999999 -0.559913040230934 -0.753336670765977
4.14999999999999 -0.513047749914593 -0.780160690519615
4.19999999999999 -0.466182459598251 -0.804641445757436
4.24999999999999 -0.419317169281909 -0.82677893647944
4.29999999999999 -0.372451878965567 -0.846573162685627
4.34999999999999 -0.325586588649226 -0.864024124375997
4.39999999999999 -0.278721298332884 -0.87913182155055
4.44999999999999 -0.231856008016542 -0.891896254209285
4.49999999999999 -0.1849907177002 -0.902317422352204
4.54999999999999 -0.138125427383859 -0.910395325979305
4.59999999999999 -0.0912601370675168 -0.91612996509059
4.64999999999999 -0.0443948467511751 -0.919521339686057
4.69999999999999 0.00247044356516668 -0.920569449765707
4.74999999999999 0.0493357338815085 -0.91927429532954
4.79999999999999 0.0962010241978501 -0.915635876377556
4.84999999999999 0.143066314514192 -0.909654192909755
4.89999999999999 0.189931604830534 -0.901329244926137
4.94999999999999 0.236796895146875 -0.890661032426702
4.99999999999999 0.283662185463217 -0.87764955541145
5.04999999999999 0.317487590522577 -0.862620811011805
5.09999999999999 0.351312995581933 -0.845900796359192
5.14999999999999 0.38513840064129 -0.827489511453612
5.19999999999999 0.418963805700647 -0.807386956295063
5.24999999999999 0.452789210760004 -0.785593130883547
5.29999999999999 0.486614615819361 -0.762108035219063
5.34999999999999 0.520440020878718 -0.736931669301611
5.39999999999999 0.554265425938075 -0.710064033131191
5.44999999999999 0.588090830997431 -0.681505126707804
5.49999999999999 0.621916236056788 -0.651254950031448
5.54999999999999 0.655741641116145 -0.619313503102125
5.59999999999999 0.689567046175502 -0.585680785919834
5.64999999999999 0.723392451234859 -0.550356798484575
5.69999999999999 0.757217856294216 -0.513341540796349
5.74999999999999 0.791043261353573 -0.474635012855154
5.79999999999999 0.824868666412929 -0.434237214660992
5.84999999999999 0.858694071472286 -0.392148146213861
5.89999999999999 0.892519476531643 -0.348367807513763
5.94999999999999 0.926344881591 -0.302896198560697
5.99999999999999 0.960170286650357 -0.255733319354664
6.04999999999999 0.949856885035016 -0.207982640062529
6.09999999999999 0.939543483419663 -0.160747630851162
6.14999999999999 0.92923008180431 -0.114028291720563
6.19999999999999 0.918916680188957 -0.0678246226707318
6.24999999999999 0.908603278573604 -0.0221366237016679
6.29999999999999 0.898289876958251 0.0230357051866283
6.34999999999999 0.887976475342897 0.0676923639941568
6.39999999999999 0.877663073727544 0.111833352720918
6.44999999999999 0.867349672112191 0.155458671366911
6.49999999999998 0.857036270496838 0.198568319932137
6.54999999999998 0.846722868881485 0.241162298416595
6.59999999999998 0.836409467266132 0.283240606820285
6.64999999999998 0.826096065650779 0.324803245143207
6.69999999999998 0.815782664035426 0.365850213385362
6.74999999999998 0.805469262420073 0.40638151154675
6.79999999999998 0.79515586080472 0.446397139627369
6.84999999999998 0.784842459189367 0.485897097627221
6.89999999999998 0.774529057574014 0.524881385546306
6.94999999999998 0.764215655958661 0.563350003384623
6.99999999999998 0.753902254343308 0.601302951142172
7.04999999999998 0.708932139935724 0.637873810999148
7.09999999999998 0.663962025528128 0.672196165135744
7.14999999999998 0.618991911120533 0.70427001355196
7.19999999999998 0.574021796712937 0.734095356247797
7.24999999999998 0.529051682305341 0.761672193223254
7.29999999999998 0.484081567897745 0.787000524478331
7.34999999999998 0.43911145349015 0.810080350013028
7.39999999999998 0.394141339082554 0.830911669827346
7.44999999999998 0.349171224674958 0.849494483921283
7.49999999999998 0.304201110267362 0.865828792294841
7.54999999999998 0.259230995859767 0.879914594948019
7.59999999999998 0.214260881452171 0.891751891880818
7.64999999999998 0.169290767044575 0.901340683093236
7.69999999999998 0.124320652636979 0.908680968585275
7.74999999999998 0.0793505382293835 0.913772748356934
7.79999999999998 0.0343804238217879 0.916616022408214
7.84999999999998 -0.0105896905858079 0.917210790739113
7.89999999999998 -0.0555598049934036 0.915557053349633
7.94999999999998 -0.100529919400999 0.911654810239773
7.99999999999998 -0.145500033808595 0.905504061409533
8.04999999999998 -0.183781545212401 0.897272021934008
8.09999999999998 -0.222063056616205 0.887125906888293
8.14999999999998 -0.260344568020008 0.875065716272387
8.19999999999998 -0.298626079423812 0.861091450086292
8.24999999999998 -0.336907590827616 0.845203108330006
8.29999999999998 -0.375189102231419 0.82740069100353
8.34999999999998 -0.413470613635223 0.807684198106863
8.39999999999998 -0.451752125039027 0.786053629640007
8.44999999999999 -0.490033636442831 0.76250898560296
8.49999999999999 -0.528315147846634 0.737050265995723
8.54999999999999 -0.566596659250438 0.709677470818296
8.59999999999999 -0.604878170654242 0.680390600070678
8.64999999999999 -0.643159682058046 0.649189653752871
8.69999999999999 -0.681441193461849 0.616074631864873
8.74999999999999 -0.719722704865653 0.581045534406685
8.79999999999999 -0.758004216269457 0.544102361378306
8.84999999999999 -0.79628572767326 0.505245112779738
8.89999999999999 -0.834567239077064 0.464473788610979
8.94999999999999 -0.872848750480868 0.42178838887203
8.99999999999999 -0.911130261884671 0.377188913562891
