# z, qspline(z), derivative(z), integral(z)
1 0.841470984807897 0.53821456592181 0
1.05 0.867205742794227 0.491175753531408 0.0427267179426345
1.1 0.890588560161037 0.444136941141005 0.0866813752690974
1.15 0.911619436908328 0.397098128750602 0.131746374948413
1.2 0.930298373036098 0.3500593163602 0.177804119949605
1.25 0.946625368544348 0.303020503969797 0.224737013241697
1.3 0.960600423433077 0.255981691579395 0.272427457793714
1.35 0.972223537702287 0.208942879188992 0.32075785657468
1.4 0.981494711351977 0.16190406679859 0.369610612553618
1.45 0.988413944382146 0.114865254408187 0.418868128699552
1.5 0.992981236792795 0.0678264420177848 0.468412807981507
1.55 0.995196588583924 0.0207876296273822 0.518127053368507
1.6 0.995059999755533 -0.0262511827630203 0.567893267829574
1.65 0.992571470307622 -0.0732899951534228 0.617593854333735
1.7 0.987731000240191 -0.120328807543825 0.667111215850011
1.75 0.98053858955324 -0.167367619934228 0.716327755347429
1.8 0.970994238246768 -0.21440643232463 0.76512587579501
1.85 0.959097946320777 -0.261445244715033 0.81338798016178
1.9 0.944849713775265 -0.308484057105435 0.860996471416763
1.95 0.928249540610233 -0.355522869495838 0.907833752528981
2 0.909297426825681 -0.40256168188624 0.953782226467461
2.05 0.888255303389171 -0.439123255574198 0.99872866171735
2.1 0.865385101268262 -0.475684829262155 1.0425772888283
2.15 0.840686820462955 -0.512246402950112 1.0852367038661
2.2 0.814160460973251 -0.54880797663807 1.12661550289653
2.25 0.785806022799148 -0.585369550326027 1.16662228198535
2.3 0.755623505940648 -0.621931124013984 1.20516563719837
2.35 0.72361291039775 -0.658492697701942 1.24215416460135
2.4 0.689774236170454 -0.695054271389899 1.27749646026007
2.45 0.65410748325876 -0.731615845077856 1.31110112024032
2.5 0.616612651662669 -0.768177418765814 1.34287674060787
2.55 0.577289741382179 -0.804738992453771 1.37273191742851
2.6 0.536138752417292 -0.841300566141729 1.40057524676802
2.65 0.493159684768007 -0.877862139829686 1.42631532469217
2.7 0.448352538434324 -0.914423713517643 1.44986074726674
2.75 0.401717313416243 -0.950985287205601 1.47112011055753
2.8 0.353254009713764 -0.987546860893558 1.49000201063029
2.85 0.302962627326887 -1.02410843458152 1.50641504355083
2.9 0.250843166255613 -1.06067000826947 1.52026780538491
2.95 0.196895626499941 -1.09723158195743 1.53146889219832
3 0.14112000805987 -1.13379315564539 1.53992690005683
3.05 0.0850200269082949 -1.11020609041763 1.54557548695911
3.1 0.0300993990181075 -1.08661902518987 1.54844855863535
3.15 -0.0236418756106919 -1.06303195996211 1.54860508274861
